TAZ,Name,#Nodes,Area
1,Monaco,21150,3150797.7643698547
20,Menton,4472,1928595.2227583653
14,Roquebrune-Cap-Martin,51991,13046118.26447597
19,Gorbio,5576,4215247.5989385685
18,Sainte-Agnès,605,278627.57944502577
13,Beausoleil,27372,3711430.291890857
12,Cap-d'Ail,15831,2905470.263955981
11,La Turbie,36039,10457135.090434149
17,Èze,12839,5388225.555449852
16,La Trinité,3734,4229112.058803139
15,Peille,6158,12554684.583305534
10,Fontvieille,2302,438647.64785014925
9,Monaco-Ville,1627,242837.83435394856
8,La Condamine,2072,589846.9609172387
7,La Rousse,2968,263333.5982214024
6,Larvotto,1243,385032.8941768975
5,Monte-Carlo,5303,568848.9634021536
4,Jardin Exotique,2492,304780.61327853345
3,Les Monegetti,1482,137458.7351851631
2,Sainte-Dévote,296,29696.06077724609
