TAZ,Poly,Area,Weight,GenEdge,PedEdge
13,129317,60,0.00013343355676041115,153426#4,153426#4
13,123392,359,0.0007983774479497934,152945,152945
13,125944,72,0.0001601202681124934,152600,152600
13,126820,44,9.785127495763485e-05,-153446#2,-153446#2
13,123527,51,0.00011341852324634948,153426#0,153426#0
13,123887,2006,0.0044611285810230794,-153428#1,-153428#1
13,123652,178,0.0003958528850558864,-153420#5,-153420#5
13,123751,74,0.0001645680533378404,153426#3,153426#3
13,130847,20,4.4477852253470386e-05,-153374#0,-153374#0
13,123180,126,0.0002802104691968634,-152686#1,-152686#1
13,130071,10,2.2238926126735193e-05,152623,152623
13,121852,3085,0.006860708710097807,-153336#9,-153336#9
13,123630,87,0.00019347865730259616,153420#3,153420#3
13,125940,117,0.00026019543568280175,152595#3,153515
13,129236,0,0.0,-152734,-152734
13,126194,61,0.00013565744937308466,153446#2,153446#2
13,118294,592,0.0013165444267027233,-152586#3,153596
13,128565,74,0.0001645680533378404,-153496#3,-153496#3
13,129213,192,0.0004269873816333157,-152689#0,153660
13,122783,150,0.0003335838919010279,152595#3,152595#3
13,123312,63,0.0001401052345984317,153336#10,153336#10
13,126407,105,0.0002335087243307195,-152370,153129#1
13,122881,32,7.116456360555262e-05,152941#2,153104#0
13,126150,76,0.00016901583856318746,153418#7,153418#7
13,130122,35,7.783624144357317e-05,-153491,-153491
13,126335,674,0.001498903620941952,-153422,-153422
13,123529,113,0.00025129986523210766,-153035,152519
13,123476,299,0.0006649438911893823,153410#0,153410#0
13,123530,78,0.0001734636237885345,-153063#2,153269#0
13,125836,77,0.000171239731175861,-153379#13,153207#0
13,123290,56,0.0001245379863097171,-153418#7,-153418#7
13,130638,14,3.113449657742927e-05,-153043,-153043
13,123209,84,0.0001868069794645756,-153336#6,-153336#6
13,129305,24,5.337342270416446e-05,153427,153427
13,123044,112,0.0002490759726194342,-153392#3,-153392#3
13,123798,154,0.000342479462351722,-153445#5,-153445#5
13,125903,197,0.00043810684469668327,-152354,-152354
13,119235,238,0.0005292864418162975,152712#1,152712#1
13,123734,105,0.0002335087243307195,-153409#3,152684#0
13,123680,47,0.0001045229527956554,153408,153408
13,126408,332,0.0007383323474076084,-152370,-152370
13,128628,5,1.1119463063367597e-05,153339,-153339
13,121738,161,0.00035804671064043657,-153418#10,153660
13,125919,163,0.00036249449586578364,-152358#1,-152358#1
13,122781,167,0.00037139006631647773,153384,153384
13,126244,7,1.5567248288714636e-05,153425#2,153425#2
13,126185,169,0.00037583785154182475,153448,153448
13,126112,181,0.00040252456289390697,-153336#6,153125#0
13,126310,55,0.00012231409369704355,-152694,-152694
13,123752,100,0.0002223892612673519,153426#3,153426#3
13,126355,114,0.0002535237578447812,153443,153443
13,123341,263,0.0005848837571331355,-153418#9,-153418#9
13,125917,48,0.00010674684540832892,-153379#6,-153379#6
13,125824,279,0.0006204660389359119,153379#6,153379#6
13,126117,61,0.00013565744937308466,153335#0,153335#0
13,126270,156,0.000346927247577069,-152735,-152735
13,126397,423,0.0009407065751608986,-153447#2,-153447#2
13,129194,38,8.450791928159373e-05,153335#1,153335#1
13,122859,98,0.0002179414760420049,-153028#2,153652#1
13,129300,122,0.0002713148987461693,-153445#4,-153445#4
13,125823,37,8.22840266689202e-05,-152595#3,-152595#3
13,129118,3,6.671677838020558e-06,-153379#5,153608#1
13,123724,407,0.0009051242933581223,153009,-153009
13,123006,170,0.0003780617441544983,153390#0,153390#0
13,126047,264,0.000587107649745809,-153392#6,-153392#6
13,123779,144,0.0003202405362249868,-152794,-152794
13,121740,35,7.783624144357317e-05,-153418#10,-153418#10
13,118973,91,0.00020237422775329025,152597,152597
13,126106,215,0.00047813691172480664,-153336#7,-153336#7
13,129260,33,7.338845621822613e-05,-153488,-153488
13,129289,27,6.0045100542185016e-05,-153442,-153442
13,129093,400,0.0008895570450694076,-153385#4,153657
13,122885,102,0.00022683704649269896,-153379#5,153103#0
13,123739,193,0.00042921127424598923,-153409#7,-153409#7
13,129407,25,5.559731531683798e-05,-152841,-152841
13,129237,17,3.7806174415449826e-05,153428#3,153428#3
13,122857,122,0.0002713148987461693,-152946#2,153090
13,126826,83,0.0001845830868519021,153446#2,153446#2
13,123003,54,0.00012009020108437003,153388#1,153388#1
13,122701,98,0.0002179414760420049,152517#0,152517#0
13,123696,61,0.00013565744937308466,153444#2,153444#2
13,122825,48,0.00010674684540832892,153379#11,153249
13,122983,59,0.00013120966414773764,152595#3,153515
13,118644,62,0.0001378813419857582,-152486,152519
13,126054,78,0.0001734636237885345,-153491,-153491
13,126265,84,0.0001868069794645756,153489#0,153489#0
13,126043,72,0.0001601202681124934,-153491,-153491
13,126275,48,0.00010674684540832892,152721#2,152721#2
13,125858,78,0.0001734636237885345,153388#5,153388#5
13,119013,503,0.0011186179841747802,152586#4,152586#4
13,123012,93,0.0002068220129786373,153417#4,153417#4
13,118448,105,0.0002335087243307195,-153428#1,153212#0
13,123568,74,0.0001645680533378404,152729#1,152729#1
13,126182,28,6.226899315485854e-05,-153332#12,153281
13,126173,94,0.0002090459055913108,-153001#7,153518#1
13,122879,57,0.0001267618789223906,152941#2,153104#0
13,125974,93,0.0002068220129786373,152600,152600
13,123134,55,0.00012231409369704355,-153392#6,-153392#6
13,122891,74,0.0001645680533378404,-153379#10,-153379#10
13,123713,54,0.00012009020108437003,153038#0,152519
13,130139,35,7.783624144357317e-05,153454#11,153628
13,123770,108,0.00024018040216874006,153409#7,153529
13,123334,117,0.00026019543568280175,153654#1,153660
13,129210,7,1.5567248288714636e-05,153561,153561
13,128533,10,2.2238926126735193e-05,-153336#2,-153336#2
13,122719,280,0.0006226899315485854,153385#3,153385#3
13,123720,65,0.00014455301982377875,-153063#2,-153063#2
13,122779,15,3.335838919010279e-05,-153379#13,-153379#13
13,123363,63,0.0001401052345984317,-153043,-153043
13,119286,371,0.0008250641593018756,152948#1,152948#1
13,130101,18,4.003006702812335e-05,153390#1,153390#1
13,119510,318,0.0007071978508301791,-152841,-152841
13,123211,53,0.00011786630847169652,153420#1,153420#1
13,123446,247,0.0005493014753303593,152690,-152682
13,128606,19,4.2253959640796864e-05,-153001#7,-153001#7
13,130599,23,5.114953009149094e-05,153390#1,153390#1
13,130589,19,4.2253959640796864e-05,-152946#2,153614#0
13,123258,90,0.00020015033514061674,153335#0,153335#0
13,126240,98,0.0002179414760420049,153426#2,153426#2
13,123886,100,0.0002223892612673519,153428#1,153428#1
13,126307,211,0.00046924134127411256,153412,153412
13,126761,234,0.0005203908713656035,152841,152841
13,129183,64,0.00014232912721110524,-153392#6,-153392#6
13,130631,26,5.78212079295115e-05,153426#0,153426#0
13,126376,48,0.00010674684540832892,-153426#2,-153426#2
13,123862,106,0.00023573261694339305,-153409#1,-153409#1
13,126186,896,0.0019926077809554734,153446#2,153446#2
13,123167,39,8.673181189426725e-05,153403#1,153403#1
13,130643,72,0.0001601202681124934,153426#3,153426#3
13,126339,114,0.0002535237578447812,153425#4,153074
13,123266,43,9.562738234496133e-05,153336#10,153522#0
13,122821,99,0.0002201653686546784,152595#3,152595#3
13,126252,53,0.00011786630847169652,-153447#4,-153447#4
13,126046,102,0.00022683704649269896,-153392#6,-153392#6
13,122754,87,0.00019347865730259616,153334#4,153334#4
13,122845,263,0.0005848837571331355,153388#4,153388#4
13,123417,57,0.0001267618789223906,153001#8,153001#8
13,126298,388,0.0008628703337173254,-152976#0,-152976#0
13,128553,51,0.00011341852324634948,-153496#0,153657
13,126293,98,0.0002179414760420049,153417#2,153417#2
13,130124,23,5.114953009149094e-05,-153420#3,-153420#3
13,123372,580,0.001289857715350641,-153418#5,-153418#5
13,123577,57,0.0001267618789223906,153409#6,153527#0
13,129282,6,1.3343355676041116e-05,153454#9,153628
13,122798,70,0.00015567248288714635,152595#2,152595#2
13,128889,70,0.00015567248288714635,-152841,-152841
13,123267,37,8.22840266689202e-05,-153001#5,153136
