TAZ,Poly,Area,Weight,GenEdge,PedEdge
3,115206,917,0.018304489290775893,-149191,-149191
3,115424,111,0.0022157015390143124,149204,-149204
3,115382,195,0.0038924486496197375,149209#1,149209#1
3,115058,410,0.008184122801764577,-149225#1,-149225#1
3,115222,255,0.005090125157195042,-149382#2,-149382#2
3,115903,307,0.006128111463760305,149356#0,149356#0
3,115886,377,0.00752540072259816,-149227#8,-149227#8
3,116167,170,0.003393416771463361,149382#2,149382#2
3,115432,259,0.005169970257700062,-149195,-149195
3,114838,705,0.014072698964009821,148684,-149209#1
3,115906,230,0.004591093279038665,149356#1,149356#1
3,115926,706,0.014092660239136075,149851,-149228
3,116171,171,0.003413378046589616,149382#1,149382#1
3,116010,207,0.004131983951134798,149382#0,149382#0
3,116132,366,0.007305826696209354,149191,149191
3,114981,1263,0.025211090484460148,149220,149220
3,116019,429,0.008563387029163422,-149962#0,-149962#0
3,116160,160,0.0031938040202008104,-149283#1,-149283#1
3,115945,350,0.006986446294189273,149204,149204
3,115904,364,0.007265904145956844,-149227#11,-149227#11
3,115873,386,0.0077050521987344555,149225#5,149225#5
3,114543,408,0.008144200251512067,149226,149226
3,116083,859,0.0171467353334531,-149243#2,-149243#2
3,115944,141,0.0028145397928019643,-148580,-148580
3,115916,358,0.007146136495199313,-149220,-149220
3,116177,330,0.006587220791664171,-149283#0,-149283#0
3,116021,294,0.005868614887118989,149382#0,149565#2
3,116016,293,0.005848653611992734,149382#0,149382#0
3,115408,260,0.005189931532826317,-149962#1,-149962#1
3,116169,296,0.005908537437371499,149227#6,149227#6
3,115917,113,0.0022556240892668226,-149227#10,-149227#10
3,116152,291,0.005808731061740224,149382#1,149382#1
3,115386,224,0.0044713256282811345,149204,-149204
3,116176,186,0.003712797173483442,149227#6,149227#6
3,115041,694,0.013853124937621015,-149382#0,-149382#0
3,116150,374,0.007465516897219394,-149283#1,149573
3,116157,287,0.005728885961235204,149382#1,149382#1
3,116092,204,0.0040721001257560336,-149243#2,-149243#2
3,115404,174,0.0034732618719683812,-149382#2,-149382#2
3,116087,140,0.002794578517675709,-149243#1,-149243#1
3,115419,398,0.007944587500249517,148836,148876#0
3,115920,319,0.006367646765275366,149356#0,149356#0
3,115907,1205,0.024053336527137353,149227#10,149227#10
3,116173,213,0.004251751601892329,149227#6,149227#6
3,116170,311,0.006207956564265325,149225#2,149225#2
3,115883,124,0.002475198115655628,-148580,149998
3,116175,119,0.0023753917400243527,-149195,-149195
3,115877,275,0.005489350659720143,149225#2,149225#2
3,115930,575,0.011477733197596662,-149195,-149195
3,115043,68,0.0013573667085853445,149382#0,149382#0
3,115910,220,0.004391480527776114,-149214,149565#0
3,116153,187,0.003732758448609697,149382#2,149573
3,116136,101,0.0020160887877517615,-149382#0,-149382#0
3,115912,436,0.008703115955047209,149227#10,149227#10
3,116133,293,0.005848653611992734,149382#0,149565#2
3,125924,9,0.00017965147613629558,-149225#5,-149225#5
3,116095,103,0.0020560113380042717,-149227#5,-149227#5
3,115391,204,0.0040721001257560336,149209#0,149562
3,116011,184,0.003672874623230932,-149382#0,-149382#0
3,114834,332,0.006627143341916682,148876#0,148876#0
3,116090,198,0.003952332474998503,149856,149856
3,116012,196,0.003912409924745993,-149382#0,-149382#0
3,116129,139,0.002774617242549454,-149962#0,-149962#0
3,115900,235,0.00469089965466994,149382#0,149382#0
3,115899,319,0.006367646765275366,149358#2,149358#2
3,116017,182,0.003632952072978422,-149382#1,-149382#1
3,116018,258,0.005150008982573807,149240#1,149565#2
3,115400,164,0.0032736491207058308,149225#5,149225#5
3,116022,206,0.004112022676008543,149859,149859
3,116098,167,0.003333532946084596,149227#4,149579
3,115921,286,0.005708924686108949,-149220,-149220
3,116086,202,0.004032177575503523,-149225#1,-149225#1
3,115193,162,0.0032337265704533206,149209#0,149562
3,115882,151,0.0030141525440645148,-148580,-148580
3,116168,288,0.005748847236361459,-149283#1,149573
3,115872,162,0.0032337265704533206,148874,149998
3,114831,664,0.013254286683833364,148836,148876#0
3,115942,165,0.0032936103958320856,-148580,-148580
3,116162,738,0.014731421043176238,149965#3,149965#3
3,115874,190,0.0037926422739884623,149225#5,149225#5
3,114713,339,0.006766872267800467,-149209#0,-149209#0
3,115931,312,0.00622791783939158,-149214,-149214
3,114832,425,0.008483541928658403,148684,148876#0
3,115892,253,0.005050202606942531,149356#1,149356#1
3,115876,94,0.001876359861867976,-149225#0,149567#0
3,115210,202,0.004032177575503523,149204,-149204
3,115911,209,0.004171906501387309,149358#1,149358#1
3,115905,124,0.002475198115655628,149382#0,149382#0
3,115885,461,0.009202147833203585,-149227#6,-149227#6
3,116138,227,0.0045312094536599,149382#0,149565#2
3,115897,344,0.006866678643431742,149204,149204
3,115933,173,0.0034533005968421264,-149227#10,-149227#10
3,115040,444,0.00886280615605725,-149382#0,-149382#0
3,115908,100,0.0019961275126255066,-149227#10,-149227#10
3,116103,245,0.004890512405932491,149859,149859
3,115887,197,0.003932371199872248,149227#6,149227#6
3,116014,254,0.005070163882068787,149382#0,149382#0
3,116020,216,0.004311635427271094,-149382#1,-149382#1
3,116155,151,0.0030141525440645148,-149283#1,-149283#1
3,115875,230,0.004591093279038665,-149358#2,-149358#2
3,115909,325,0.006487414416032896,-149227#10,-149227#10
3,115913,220,0.004391480527776114,149356#1,149356#1
3,115928,156,0.00311395891969579,149227#8,149227#8
3,115888,132,0.0026348883166656687,149851,149851
3,116099,117,0.0023354691897718425,-149227#5,-149227#5
3,115923,650,0.012974828832065792,149225#5,149225#5
3,115914,856,0.017086851508074336,-149227#10,-149227#10
3,116158,215,0.004291674152144839,149227#6,149227#6
3,115059,266,0.005309699183583847,149243#2,149243#2
3,115403,616,0.01229614547777312,-149382#0,-149382#0
3,115042,607,0.012116494001636825,149204,149562
3,116077,330,0.006587220791664171,149227#4,149227#4
3,115922,244,0.0048705511308062355,-149225#3,-149225#3
3,115894,856,0.017086851508074336,-149227#10,-149227#10
3,115057,581,0.011597500848354193,149243#1,149243#1
3,116084,200,0.003992255025251013,-149243#2,-149243#2
3,116156,131,0.0026149270415394134,149382#1,149382#1
3,115893,409,0.008164161526638321,149356#0,149356#0
3,115418,242,0.004830628580553726,149356#1,149356#1
3,115895,748,0.014931033794438789,149358#2,149358#2
3,115919,371,0.007405633071840629,149356#1,149356#1
3,116079,87,0.0017366309359841906,149283#1,149283#1
3,115428,100,0.0019961275126255066,149204,-149204
3,116174,150,0.00299419126893826,-149358#0,-149358#0
3,115929,240,0.004790706030301216,149226,-149226
3,116374,367,0.007325787971335609,149283#0,149283#0
3,115425,390,0.007784897299239475,148836,-149204
3,116093,69,0.0013773279837115994,-149243#2,-149243#2
3,115393,126,0.002515120665908138,149382#2,149382#2
3,115915,780,0.01556979459847895,149358#1,149358#1
3,116165,435,0.008683154679920953,-149283#0,-149283#0
3,116094,184,0.003672874623230932,-149227#4,-149227#4
3,115927,502,0.010020560113380043,149240#1,149240#1
3,115852,343,0.006846717368305487,149204,-149204
3,116159,915,0.018264566740523385,149283#0,149283#0
3,116134,234,0.004670938379543685,149240#1,149240#1
3,115952,113,0.0022556240892668226,149226,-149226
3,116089,88,0.0017565922111104457,149225#2,149570
3,116097,152,0.00303411381919077,149225#1,149225#1
3,115063,93,0.001856398586741721,-149243#1,-149243#1
3,116096,421,0.008403696828153383,-149225#2,-149225#2
3,116135,233,0.00465097710441743,149240#1,149240#1
3,115950,117,0.0023354691897718425,149356#0,149356#0
3,115918,101,0.0020160887877517615,149226,-149226
3,116076,136,0.002714733417170689,149283#1,149579
3,116164,420,0.008383735553027127,149225#2,149225#2
3,115896,298,0.005948459987624009,149356#1,149356#1
3,115898,171,0.003413378046589616,149382#0,149382#0
3,116163,417,0.008323851727648362,-149358#0,-149358#0
3,114977,146,0.0029143461684332395,-149227#6,-149227#6
3,116013,203,0.004052138850629778,149204,149204
